Route,Count
muvattupuzha aluva,81
aluva muvattupuzha,82
perumbavoor muvattupuzha,22
aluva perumbavoor,65
perumbavoor aluva,63
marampally aluva,1
aluva marampally,1
perumbavoor vaniyapilly,1
aluva ponjassery,2
vaniapilly muvattupuzha,1
ponjassery aluva,1
nedumangad vithura,19
thiruvananthapuram vithura,50
tvm medical college vellarada,10
aryanad thiruvananthapuram,28
mavelikara pathanamthitta,4
pathanamthitta mavelikara,4
mavelikara harippad,1
harippad ambalappuzha,59
ambalappuzha pathanamthitta,14
changanassery kayamkulam,36
kayamkulam thiruvalla,1
mavelikkara chirakkal temple,1
chirakkal temple kottayam,1
kottayam karunagappally,8
kayamkulam changanassery,34
changanassery thiruvalla,20
thiruvalla changanassery,9
mavelikara oachira,4
vellakayam kothamangalam,3
kothamangalam vettampara,2
vettampara kothamangalam,1
vettampara ernakulam,1
kothamangalam vadattupara,5
vadattupara kothamangalam,4
ernakulam kothamangalam,49
uppukulam kothamangalam,1
kothamangalam uppukulam,2
kothamangalam pallavanpady,5
pallavanpady ernakulam,1
kothamangalam ernakulam thevara,40
ernakulam thevara kothamangalam,50
kothamangalam amritha medical college,2
amritha medical college kothamangalam,2
aluva devagiri,2
konni karimanthode,2
konni karimanthode (stay),3
anchal kallambalam,2
kallambalam ayoor,1
ayoor tvm medical college,4
tvm medical college ayoor,4
ayoor chadayamangalam,4
kadakkal anchal,20
anchal kadakkal,22
ponnani perinthalmanna,7
perinthalmanna ponnani,7
karunagapally pookottu temple,1
kadakkal chadayamangalam,7
pookottu temple kayamkulam,1
anchal kottarakkara,12
kottarakkara anchal,11
attingal mangalapuram,1
aluva chalakudy,77
perinthalmanna valanchery,50
mangalapuram chirayinkeezhu,1
chathanad north paravoor,31
chathanad aluva,4
north paravoor angamaly,3
angamaly north paravoor,4
north paravoor njarackal (stay),1
njarackal aluva,1
aluva vadakkumpuram,1
vadakkumpuram aluva,1
aluva kaitharam,1
kaitharam north paravoor,1
aluva chathanad,3
north paravoor thathappilly,11
thathappilly aluva,1
thathappilly paravoor,3
chathanad thathappilly,4
north paravoor manjaly,1
manjaly aluva,2
north paravoor kongorppilly,3
kongorppilly north paravoor,2
kongorppilly chathanad,1
thevara north paravoor,4
north paravoor chottanikara,6
chottanikara north paravoor,6
north paravoor karimughal,3
karimughal north paravoor,3
north paravoor cochin medical college,4
cochin medical college north paravoor,4
north paravoor cherthala,5
cherthala north paravoor,4
north paravoor kodungallur,1
kodungallur cherthala,1
cherthala kodungallur,2
north paravoor ernakulam,14
ernakulam north paravoor,18
kottayil kovilakom cherthala,1
kodungallur ernakulam,3
ernakulam jetty north paravoor,32
cherthala thoppumpady,94
thoppumpady cherthala,96
north paravoor edampaadam,1
edampaadam ernakulam,1
ernakulam edampaadam,1
edampaadam thevara ferry,1
nedumangad gokulam medical college,1
thevara ferry north paravoor,5
thevara ferry guruvayoor,1
gokulam medical college panavoor,1
panavoor attingal,2
guruvayoor thevara ferry,1
north paravoor thrippunithura,1
thrippunithura north paravoor,1
thiruvananthapuram nagercovil,101
nagercovil thiruvananthapuram,100
kollam chengannur,30
palakkad coimbatore,92
angamaly varkala sivagiri,1
varkala sivagiri angamaly,1
aryanad guruvayoor,1
guruvayoor aryanad,1
nedumangad thiruvananthapuram,69
thiruvananthapuram thrissur,19
thrissur nedumangad,1
palakkad nedumangad,6
nedumangad palakkad,2
sulthan bathery gundulpet,9
gundulpet sulthan bathery,9
kalpetta kalpetta (circular),7
kalpetta mananthavady,83
mananthavady kalpetta,85
kalpetta malankara,1
malankara kalpetta,1
kalpetta vilambukandam (stay),1
vilambukandam kalpetta,1
kalpetta cheriyamkolly,1
cheriyamkolly kalpetta,1
mananthavady lakkidi,3
lakkidi pulpally,1
pulpally kalpetta,5
lakkidi kalpetta,4
kalpetta kottathara,4
kottathara kalpetta,4
kattakkada kappukad,10
payyannur neeleswaram,3
kappukad kattakkada,9
neeleswaram payyannur,4
kannur blathoor,1
blathoor hq hospital,1
hq hospital irikkur,2
mayyil irikkur,1
irikkur mayyil,1
irikkur hq hospital,1
irikkur kannur,2
kannur koothuparamba,7
kannur anjarakandy,5
anjarakandy kannur,4
koothuparamba kannur,7
mundamatta kannur,1
kannur mundamatta (stay),1
kannur koottupuzha,3
koottupuzha kannur,2
kannur parassinikadavu,6
parassinikadavu virajpet,1
virajpet kannur,2
palode chellanchy,2
chellanchy iqbal college,1
palode thiruvananthapuram,30
palode tvm medical college,4
tvm medical college palode,3
thiruvananthapuram kilimanoor,26
kilimanoor palode,6
palode anakulam,4
palode ilanjiyam,1
ilanjiyam palode,1
sulthan bathery kozhikkode,70
anakulam palode,1
peringamala chellanchy,1
palode kadakkal,2
nilamel palode,2
thiruvananthapuram palode,38
cherumthadam muvattupuzha,1
venpakal thiruvananthapuram,5
sreekandapuram hq hospital,2
