Route,Count
ozhivupara palakkad,6
palakkad ozhivupara (stay),9
kattakkada plampazhinji,3
thalassery keezhpally,1
keezhpally koothuparamba,1
koothuparamba valiyavelicham,1
valiyavelicham chakkarakkal,1
chakkarakkal thalassery,1
thalassery mysore,2
mysore thalassery,2
vengad guruvayoor,1
guruvayoor vengad,1
thalassery kottiyoor,2
thalassery thottilpalam,2
thottilpalam thalassery,2
valayam koothuparamba,1
koothuparamba iritty,2
koothuparamba peravoor,1
peravoor thalassery,2
thalassery paalchuram (stay),2
paalchuram kannur,1
mananthavady aanappara,20
aanappara mananthavady,20
thiruvalla othera (stay),7
manjeri malappuram,6
perumpadappu chottanikara,2
chottanikara perumpadappu,2
aluva perumpadappu,2
aluva ernakulam,5
adoor ayoor,38
kozhikkode maruthakadavu,1
maruthakadavu kozhikkode,2
sulthan bathery poothadi (stay),3
poothadi sulthan bathery,3
sulthan bathery sulthan bathery (circular),30
sulthan bathery ayyankolly,12
nedumangad kulappada,1
kulappada thiruvananthapuram,1
kozhikkode kuttiady,7
kuttiady kozhikkode,7
kuttiady thottilpalam,2
kayamkulam thengamam,1
kunnumma alappuzha,4
cherthala alappuzha railway station,97
alappuzha railway station cherthala,101
cherthala ambalappuzha,97
alappuzha chempumpuram,2
chempumpuram alappuzha,2
alappuzha thottakkadu,2
thottakkadu alappuzha,2
changanassery veliyanad,4
veliyanad changanassery,4
veliyanad alappuzha,1
alappuzha veliyanad,1
arthunkal vandanam medical college,2
vandanam medical college cherthala,6
valat h.s mananthavady,27
kalpetta valathur,3
valathur kalpetta,1
valathur valal,1
valal vythiri,1
kalpetta attamala,4
kalpetta attamala (stay),5
attamala kalpetta,5
attamala kalpetta civil station,7
kalpetta civil station attamala,7
attamala muttil,1
muttil attamala,1
meppadi attamala,1
attamala meppadi,1
kalpetta mundakai,8
mundakai kalpetta,3
mundakai meppadi,2
meppadi chooralmala,4
chooralmala kalpetta,3
mundakai muttil,1
muttil mundakai (stay),1
kanyakulangara nedumangad,4
nedumangad kanyakulangara,4
nedumangad kaipadi,1
kaipadi nedumangad,2
vembayam thiruvananthapuram,2
thiruvananthapuram vembayam,2
nedumangad nalanchira,3
nalanchira thiruvananthapuram,1
pachamala thiruvananthapuram,2
nedumangad pappanamcode,1
pappanamcode theviyarkunnu,1
thiruvananthapuram vinobanikethan,1
aryanad vinobanikethan,1
vinobanikethan nedumangad,1
undappara thiruvananthapuram,1
nedumangad aruviyode,1
nedumangad panavoor,1
panavoor thiruvananthapuram,1
thiruvananthapuram perila,1
paruthikuzhy thiruvananthapuram,2
nedumangad parappil,1
parappil tvm medical college,1
nedumangad perayam,1
perayam nedumangad,1
vamanapuram venjarammoodu,10
venjarammoodu kanyakulangara,1
kanyakulangara karettu,1
karettu thiruvananthapuram,2
kallara pothencode,2
pothencode kallara,2
kallara melattumoozhy,1
melattumoozhy peroorkada,1
peroorkada kilimanoor,1
thaliparamba chandanakampara,1
chandanakampara sreekandapuram,1
sreekandapuram chandanakampara (stay),1
chandanakampara thaliparamba,1
thaliparamba adichery,1
kannur kolithattu,1
iritty mananthavady,10
kannur irikkur,1
irikkur mattannur,3
mattannur irikkur,2
iritty vanirappara,3
vanirappara iritty,3
erattupetta kaipuzha,1
pala kaipuzha,1
kaipuzha pala,2
pala kuruvilangad,1
kuruvilangad pala,1
pathanamthitta kottayam medical college,27
mannarasala mundakayam,1
thekkemala ponkunnam,1
kottayam meloram,1
meloram ponkunnam,3
azhangadu ponkunnam,1
ponkunnam azhangadu,2
ponkunnam meloram,1
kottayam punchavayal,1
punchavayal mundakayam,1
mundakayam meloram,1
ponkunnam kulathoormozhy,1
kulathoormozhy alappuzha,1
alappuzha mulayamveli,1
ponkunnam guruvayoor,1
guruvayoor ponkunnam,1
kulathupuzha thenmala,1
kallanpullu thiruvambady,3
kallambalam kollam,4
kollam tvm medical college,2
kollam (chinnakada) tvm medical college,3
thiruvananthapuram cheruppani,1
attinpuram paruthikuzhy,1
paruthikuzhy erumala,1
kasargod kumbala,3
kumbala kajampady,1
kajampady kasargod,1
kasargod kajampady,7
kajampady kumbala,1
kumbla kasargod railway station,1
kasargod peravoor,3
thrissur kundukadavu,4
kollam (chinnakada) malanada,1
vandanam medical college valiazheekal,6
malanada chavara,1
kottayam koothattukulam,16
mundakayam changanassery,6
changanassery kayalpurampally,5
kumily upputhara,6
valiazheekal harippad,1
kayamkulam kumily,2
kumily kayamkulam,2
ettumanoor elanji,1
elanji ettumanoor,1
elanji kuruvilangad,1
elanji kottayam,2
kottayam elanji,4
cherumthadam kottayam,1
kuruvilangad cherumthadam,1
thoppumpady thiruvairanikkulam,1
ernakulam panangad,1
panangad high court,2
high court panangad,2
panangad kakkanad,2
panangad aluva,1
aluva panangad,1
kakkanad panangad,1
kakkanad ernakulam,1
ernakulam poochakkal,1
aluva thuravoor,1
thuravoor ernakulam,3
ernakulam kadavanthra,1
kadavanthra kakkanad,2
kakkanad kadavanthra,1
kakkanad high court,1
high court csez kakkanad,1
edathuva guruvayoor,2
guruvayoor ambalappuzha,5
bangalore thottilpalam,2
thengamam adoor,9
kayalpurampally changanassery,5
changanassery mancombu temple,8
pala ponkunnam,49
pathanamthitta padichira,1
kanjikkuzhy cherthala,4
chellanam kanjikkuzhy,3
kanjikkuzhy chellanam,1
cherthala kanjikkuzhy,1
alappuzha chellanam,2
kanichukulangara chellanam,1
kalavoor kottayam,1
cherthala kalavoor,4
kalavoor cherthala,3
cherthala varanad temple,1
vaikkom palliyadu,1
palliyadu vaikkom,2
upputhara kumily,6
kumily chenkara,2
chenkara kumily,2
kumily moonkilar,1
moonkilar kumily,1
kumily anavilasam,1
anavilasam kumily,1
kumily koduva,1
koduva kumily,1
kumily sasthanada,2
sasthanada kumily,2
edathuva kottayam,1
kottayam vizhinjam,1
vizhinjam ernakulam,5
ernakulam vizhinjam,5
vizhinjam karunagappally,1
karunagappally vizhinjam,1
kollam vizhinjam,1
poovar karunagappally,2
venjaramood chakkulathukavu,1
thiruvananthapuram venjaramood,2
venjaramood thiruvananthapuram,1
thiruvananthapuram moozhiyar,1
moozhiyar thiruvananthapuram,1
poovar kollam,2
thiruvananthapuram anayadi,1
anayadi poovar,1
poovar pozhikkara,1
pozhikkara thiruvananthapuram,1
karunagappally poovar,2
kaliyikkavila edathuva,1
edathuva poovar,1
pozhiyoor perumathura,6
perumathura pozhiyoor,4
perumathura poovar,2
poovar fort kochi,1
fort kochi poovar,1
poovar ernakulam,2
ernakulam poovar,2
peruva thodupuzha,6
thodupuzha anakkayam,10
anakkayam thodupuzha,9
anakkayam peruva,1
thodupuzha kanjar,1
kanjar thodupuzha,1
thodupuzha thalayolaparambu,1
thalayolaparambu thodupuzha,1
adoor kunnikode,1
kunnikode adoor,1
adoor kaduvathodu,1
kaduvathodu kottarakkara,1
adoor thengamam,9
adoor thengamam (stay),10
kottayam harippad,5
chakkulathukavu harippad,1
harippad chakkulathukavu,1
kayamkulam kochiyude jettty,1
kochiyude jettty harippad,1
harippad arattupuzha,6
arattupuzha harippad,3
arattupuzha oachira,4
tirur guruvayoor,1
guruvayoor tirur,1
tirur edappal,1
edappal tirur,1
ponnani kuttippuram,1
kuttippuram thrissur,1
thrissur pattambi,2
ponnani kunnamkulam,4
kunnamkulam ponnani,4
ponnani pallipuram,1
pallipuram ponnani,1
ponnani pattambi,3
pattambi ponnani,3
pala edamattom,1
edamattom pala,1
pala pala (cirucular service),9
perambra thottilpalam,1
perambra muthukad,1
muthukad perambra,1
muthukad kozhikkode,2
kozhikkode muthukad,2
thottilpalam ulliyeri,1
ulliyeri perambra estate,1
kozhikkode perambra estate (stay),1
perambra estate kozhikkode,2
kozhikkode parakkadavu (stay),1
parakkadavu kozhikkode airport,1
kozhikkode airport kozhikkode,1
angamaly irinjalakuda,2
chonamala kottayam,1
moolamattom thiruvananthapuram,3
thiruvananthapuram moolamattom,3
moolamattom koombara,1
koombara moolamattom,1
kalamassery aluva,6
aluva infopark,1
infopark aluva,1
sulthan bathery perumbadikunnu,5
sulthan bathery perumbadikunnu (stay),6
perumbadikunnu sulthan bathery,6
sulthan bathery kozhuvana,4
kozhuvana sulthan bathery,4
kozhuvana thaloor,2
thaloor kozhuvana,2
erattupetta alappuzha,5
alappuzha ernakulam vytilla,19
harippad kattappana,1
pathanamthitta guruvayoor,2
poonjar alappuzha,1
erumely ernakulam,2
guruvayoor changanassery,1
alappuzha erattupetta,8
kattappana arthunkal,1
changanassery thirunelveli,1
arthunkal kattappana,1
thirunelveli kottayam,1
kattappana kaarithodu,1
ernakulam erumely,2
kaarithodu kattappana,1
erumely pampa,1
kaarithodu nedumkandam,1
nedumkandam karithodu,1
kattappana kalthotty,2
pamba kottayam,2
alappuzha poonjar,1
kalthotty kattappana,2
kattappana kothamangalam,1
mananthavady varayal,2
chittoor mananthavady,3
mananthavady palakkad,4
kottayam poothotta,1
poothotta vaikkom,1
vaikkom thanneermukkom bund,2
thanneermukkom bund vaikkom,4
ernakulam thiruvalla,7
thiruvananthapuram happy land,1
happy land nethaji puram,1
nethaji puram thiruvananthapuram,1
thiruvananthapuram muthuvila,3
muthuvila thiruvananthapuram,2
north paravoor munambam,1
munambam ernakulam jetty,1
north paravoor eramalloor,6
eramalloor north paravoor,6
murani thiruvalla,1
thiruvalla murani,1
mallappally ranny,1
chengannur mallappally,5
mananthavady valavil,4
valavil mananthavady,5
mananthavady kallody,14
mananthavady niravilpuzha,4
makkiyad mananthavady,2
kollam (chinnakada) panamood,3
panamood kollam,1
panamood punalur,1
panamood parippally,1
pala santhanpara,1
thiruvananthapuram irinjalakuda,2
irinjalakuda vytilla hub,2
vytilla hub kozhikkode,4
kanyakulangara moonnanakuzhy,2
thiruvananthapuram moonnanakuzhy,4
moonnanakuzhy thiruvananthapuram,5
moonnanakuzhy tvm medical college,1
tvm medical college moonnanakuzhy,1
vembayam moonnanakuzhy,1
moonnanakuzhy vembayam,1
moonnanakuzhy venjaramoodu,4
venjaramoodu kanyakulangara,1
venjaramoodu moonnanakuzhy,5
venjaramoodu thannippara,1
thannippara thiruvananthapuram,1
thiruvananthapuram thanippara,1
venjaramoodu gokulam medical college,1
gokulam medical college melattumoozhy,1
venjaramoodu venjaramoodu (circular),3
venjaramoodu chembancode,2
chembancode venjaramoodu,1
chembancode kallara,1
kallara parappil,3
parappil kallara,2
kallara poochedikadu,1
poochedikadu thiruvananthapuram,1
thiruvananthapuram bharathanoor,2
vaikkom vytilla hub,12
aalumchuvadu kothamangalam,1
kothamangalam aalumchuvadu,1
kothamangalam vellakayam,3
iritty ambalakandy,2
ambalakandy iritty,2
kannur irikkur (stay),2
kannur chakkarakkal,3
chakkarakkal kannur,2
kodungallur guruvayoor,4
kodungallur vypin,1
vypin guruvayoor,1
irinjalakuda thrissur,8
kodungallur irinjalakuda,3
irinjalakuda guruvayoor,1
ernakulam jetty irinjalakuda,4
irinjalakuda ernakulam jetty,2
muvattupuzha ernakulam kaloor,36
muvattupuzha illichuvadu,1
muvattupuzha karukapally,1
karukapally kolenchery,1
kolenchery thrippunithura,1
muvattupuzha parakkadavu,1
muvattupuzha vannappuram,1
vannappuram muvattupuzha,1
kolenchery koothattukulam,1
moolamattom amritha medical college,1
amritha medical college moolamattom,1
amritha medical college thodupuzha,1
chengannur guruvayoor,1
guruvayoor chengannur,1
anakkampoyil erumely,1
erumely anakkampoyil,1
thopramkudy kattappana,3
kattappana nedumkandam,9
nedumkandam kattappana,4
kattappana udubanchola,1
udumbanchola kattappana,1
nedumkandam ponnamala,1
ponnamala nedumkandam,1
kattappana kadamakuzhy,2
kadamakuzhy kattappana,2
kattappana cheruthoni,2
palode pothencode,1
ambalamkunnu kollam civil station,4
kollam odanavattom,1
kollam civil station odanavattom,2
neyyattinkara chappath,2
kottayam pamba,1
pamba erumely,2
kanjirappally pamba,1
ponkunnam elamkadu,1
elamkadu kanayamkavayal,1
kanayamkavayal kanjirappally,1
kattakkada poozhanadu,1
poozhanadu tvm medical college,1
poozhanadu thiruvananthapuram,1
vadakara mananthavady,5
vallicode kottayam pathanamthitta,2
varkala paravur,1
paravur varkala,1
chirayinkeezhu ayilam,1
attingal murukkumpuzha,1
murukkumpuzha attingal,1
kazhakkoottam chirayinkeezhu,8
chirayinkeezh tvm medical college,4
tvm medical college chirayinkeezh,2
thiruvananthapuram mookambika,1
mookambika thiruvananthapuram,1
thiruvananthapuram mangalapuram,1
kottarakkara oyoor,11
parippally oyoor,5
oyoor parippally,5
alappuzha guruvayoor,3
guruvayoor alappuzha,4
kothamangalam kattappana,1
kozhikkode vaikkom,1
vaikkom pamba,1
pamba ernakulam,1
palakunnu kanhangad,2
panathoor kasaragod,1
kollam kaniyapuram,1
ernakulam thrissur,48
iritty iritty (circular),1
kasaragod panathoor,1
iritty thudimaram,2
kanhangad periya,1
vadakara kannur,3
payyannur kayyoor (stay),14
periya kanhangad,1
thudimaram iritty,2
payyannur pallippara (stay),4
mallappally kayamkulam,4
pathanamthitta chengannur,44
poovar thrissur,2
thrissur poovar,2
poyya aluva,2
thrissur neythakudy,1
neythakudy aluva,1
mala chowkkakadavu,1
chowkkakadavu thrissur,2
thrissur chowkkakadavu,1
krishnan kotta mala,1
malayalapuzha kottayam,1
konni konni (circular),12
konni pathanamthitta,8
pathanamthitta konni,6
pathanamthitta kalleli (stay),1
kalleli pathanamthitta,1
kollam pathanapuram,17
kottayam medical college palliyadu,8
vaikkom vazhamana,1
vazhamana ernakulam,1
vaikkom high court,3
high court vaikkom,1
vaikkom tv puram,1
tv puram ernakulam,2
vellikulangara angamaly,2
chalakudy chaipankuzhy (stay),3
chalakudy chaipankuzhy,2
chaipankuzhy chalakudy,3
chalakudy randukai,4
randukai chalakudy,4
chalakudy malakkappara (stay),2
chalakudy malakkappara,1
malakkappara chalakudy,6
muvattupuzha civil station vaikkom,3
muvattupuzha paingottoor,3
piravom varkala sivagiri,2
varkala sivagiri vytilla hub,1
thiruvananthapuram piravom,3
piravom palakkad,5
palakkad kottayam,74
kolenchery thiruvananthapuram,1
piravom guruvayoor,2
thrissur piravom,1
piravom sulthan bathery,1
sulthan bathery piravom,1
piravom thiruvananthapuram,1
kodungallur thiruvananthapuram,3
thiruvananthapuram kodungallur,3
pathanamthitta kumily,2
pathanamthitta bangalore,1
bangalore pathanamthitta,1
bangalore kottayam,2
bangalore pala,1
kasaragod kanhangad depot,69
cherupuzha perumbadavu,1
panathoor kannur,1
kannur thaliparamba,3
kodenchery kallanpullu,1
thiruvambady kozhippara,2
jersy farm palode,1
vithura culvert puliyoor,1
puliyoor palode,2
palode peroorkada,1
peroorkada podiyakala,1
podiyakala vithura,1
ayoor adoor,37
varayal mananthavady,2
palvelicham mananthavady,6
mananthavady palvelicham,6
nedumangad ayoor,29
kilimanoor kottarakkara,4
kottayam chakkulathukavu,1
pathanapuram kilimanoor,1
kollam (chinnakada) kundara,2
kundara kollam,2
ayoor thiruvananthapuram,5
attingal parippally,3
paluvally tvm medical college,1
paluvally thiruvananthapuram,1
paluvally pothencode,1
pothencode paluvally,1
tvm medical college paluvally,1
thiruvananthapuram paluvally,5
kottarakkara puthoor,11
puthoor kottarakkara,11
kottarakkara decent mukku,1
decent mukku kottarakkara,1
kottarakkara maloor college,2
maloor college kottarakkara,2
tvm medical college anchal,1
chadayamangalam thiruvananthapuram,6
thiruvananthapuram ayoor,4
sulthan bathery mananthavady,32
sulthan bathery kudalur,8
chengannur pathanamthitta,44
kudalur sulthan bathery,8
sulthan bathery meenangadi,1
meenangadi thaloor,1
thaloor meenangadi,1
thaloor kalpetta,1
kalpetta thaloor,1
kalpetta chulliyode,1
chulliyode kalpetta,1
chulliyode meenangadi,2
meenangadi chulliyode,2
meenangadi sulthan bathery,1
sulthan bathery chekadi,2
chekadi pulpally,5
kannur vadakara,10
thrissur perinthalmanna,5
perinthalmanna thrissur,4
malappuram changuvetty,4
edathanattukara perinthalmanna,4
changuvetty manjeri,4
angamaly csez kakkanad,1
mannarkad perinthalmanna,5
manjeri changuvetty,2
csez kakkanad chalakudy,1
thelpara mananthavady,1
manjeri koottayi azhimukkam,1
kalady plantation thrippunithura,1
nilambur maruthakadavu,3
koottayi azhimukkam tirur,4
maruthakadavu ernakulam jetty,1
tirur koottayi azhimukkam,3
pathanamthitta punalur,31
ernakulam jetty nilambur,2
kallambalam kottiyam polytechnic college,18
tirur koottayi,2
kottiyam chathannoor,4
nilambur iritty,1
iritty nilambur,1
perumbavoor paniyeli,2
paniyeli aluva,2
aluva allattuchira,1
allattuchira perumbavoor,1
koottayi tirur,2
puthenkavuvila thiruvananthapuram,2
vellanad thiruvananthapuram,1
vaikkom cherthala,25
cherthala vaikkom,27
thiruvananthapuram pathanapuram,4
pathanapuram thrissur,1
thrissur kottarakkara,4
mananthavady pathanapuram,1
kottayam edathuva,1
chanaganssery ambalappuzha,1
kodungallur alapuzha,2
allapuzha kodungallur,2
thrippunithura piravom,2
piravom thrippunithura,2
piravom mannarasala,1
mannarasala ernakulam,1
perinthalmanna mannarkad,7
kozhikkode mannarkad,1
mannarkad malappuram,1
malappuram palakkad,10
palakkad kuzhalmannam,5
kuzhalmannam palakkad,1
thiruvananthapuram coimbatore,8
coimbatore thiruvananthapuram,8
mangalapuram thiruvananthapuram,1
mallappally changanassery,1
mallappally chunkapara,5
paingottoor ernakulam,3
nedumangad theviyarkunnu,3
theviyarkunnu nedumangad,2
chathannoor uliyanad,1
chirakkara tb hospital,1
aryanad kappukad,1
tb hospital kollam civil station,1
kottoor nedumangad,1
kollam uliyanad,1
uliyanad kottiyam,1
enjapuri thiruvananthapuram civil station,2
kollam civil station chirakkara panchayath,2
thiruvananthapuram civil station kottoor,7
nedumangad kappukad,1
kappukad nedumangad,1
nedumangad vallimangalam,1
vallimangalam nedumangad,1
nedumangad meenankal (stay),7
meenankal tvm medical college,3
tvm medical college parandode,1
pozhiyoor neyyattinkara hospital jn,34
neyyattinkara hospital jn poovar,15
punalur kundara,10
kundara punalur,9
cherthala thuravoor,1
thuravoor pamba,1
pamba cherthala,1
odakkadavu kannur,2
kannur katamallikadavu,1
katamallikadavu kannur,1
katamallikadavu thaliparamba,2
thaliparamba katamallikadavu,2
thaliparamba vattakkool,1
vattakkool thaliparamba,1
vellavu thaliparamba,1
thaliparamba vellavu,1
thaliparamba valiya areekamala,4
kannur kalanki,1
madathara kulathupuzha,1
tvm medical college kulathupuzha,2
tvm medical college thenmala,1
thenmala kulathupuzha,1
palode kulathupuzha,1
kulathupuzha palode,1
vizhinjam vellarada,2
vellarada vizhinjam,2
poovar veli,1
veli poovar,1
vithura muttamoodu,2
thalassery kozhikkode,7
mayam vellarada,1
amboori neyyatinkara,1
neyyatinkara amboori,1
thiruvananthapuram mayam,1
thiruvananthapuram neyyatinkara,1
punalur chalakudy,1
chalakudy punalur,1
punalur guruvayoor,9
aryankavu ernakulam,1
kayamkulam thenkasi,2
thenkasi kayamkulam,2
thenkasi mavelikkara,2
aluva kizhakkambalam (stay),2
kizhakkambalam aluva,2
vazhakulam aluva,4
nilambur erumamunda (stay),2
kozhikkode adivaaram,43
ernakulam paingottoor,1
muvattupuzha kattappana,1
kattappana muvattupuzha,1
muvattupuzha high court,4
high court muvattupuzha,5
kothamangalam aaroor,2
ayoor panayam,1
panayam kottarakkara,1
ayoor anchal,1
punalur ayoor,7
ayoor kollam,3
kilimanoor poviyarvila,2
nedumangad mangalapuram,1
mangalapuram chempazhanthy,1
parassala panachamoodu,1
kattakkada pankavu,4
nedumangad vellachira,1
pankavu kattakkada,3
vellachira nedumangad,1
mooverikara neyyattinkara,1
punalur chempanaruvi,5
sahyaseema kunnikode,1
punalur sahyaseema,2
punalur chemmanthoor kottarakkara,50
kottarakkara punalur chemmanthoor,47
punalur chemmanthoor kokkadu,17
chappath neyyattinkara,1
neyyatinkara mayam,7
neyyatinkara chembakappara,1
chembakappara neyyatinkara,1
kottayam vytilla hub,14
kayamkulam thekkumbhagam,1
kollam kottarakadavu,1
kollam (chinnakada) kottarakadavu,2
kottarakadavu kollam (chinnakada),2
kottarakadavu kollam,1
kottarakadavu karunagappally,1
kottarakkara kottarakadavu,1
kollam kannanalloor (stay),1
kannanalloor kollam,1
kollam mukundapuram ( stay),1
mukundapuram parippally,1
parippally karunagappally,1
kottarakkara kollam civil station,51
kunnikode kollam,2
kollam kunnikode,1
kollam civil station kunnikode,2
kollam veliyam (stay),2
kollam parippally esi,17
parippally esi kollam,18
thazhathu kulakkada kottarakkara,8
venjaramoodu koonanvenga,1
koonanvenga attingal,1
vamanapuram melattumoozhy,2
melattumoozhy vamanapuram,2
darbhakattakkal vamanapuram,2
vamanapuram darbhakattakkal,1
kilimanoor darbhakattakkal,1
venjaramoodu anakulam,1
anakulam venjaramoodu,2
thiruvananthapuram gokulam medical college,3
gokulam medical college pothencode,1
pothencode anakulam,1
venjaramoodu nellanad,4
nellanad venjaramoodu,4
nellanad gokulam medical college,1
venjaramoodu karettu,2
karettu venjaramoodu,1
karettu tvm medical college,1
payyannur mathil,7
adoor sasthamkotta,2
malanada kollam,1
malanada adoor,1
adoor malanada,1
adoor malanada (stay),2
adoor njankadavu,1
njankadavu adoor,2
adoor njankadavu (stay),2
perumpadavu kamballur (stay),1
kamballur neeleswaram,2
neeleswaram vellarikund,1
vellarikund kanhangad,1
kanhangad erikulam,1
erikulam kanhangad,1
kanhangad palakunnu,3
palakunnu kanhangad depot,3
neyyattinkara thiruvananthapuram (ladies only),49
neyyattinkara perakonam,1
anavoor hs neyyattinkara,1
neyyattinkara plampazhinji,2
thiruvananthapuram thrippalavoor,6
thrippalavoor tvm medical college,1
changanassery charummoodu,1
thiruvalla charummoodu,1
eattu purakkal alappuzha,4
cherthala andhakaranazhy,12
andhakaranazhy cherthala,11
alappuzha andhakaranazhy,8
changanassery mavady,1
mavady changanassery,1
parippally kottarakkara,36
chathannoor kottarakkara,5
oyoor kottarakkara,7
chappath kattakkada,2
kottayam thrissur,17
thrissur coimbatore,4
coimbatore thrissur,4
pollachi guruvayoor,2
guruvayoor pollachi,2
kanhangad alakkode (stay),1
kaliyikkavila chalakkara,1
chalakkara thiruvananthapuram,1
thiruvananthapuram chalakkara,1
chalakkara neyyattinkara,1
neyyattinkara chalakkara,1
chalakkara parassala,1
kunnanvila neyyattinkara,1
poovar vellarada,1
vellarada poovar,1
kollam thirunelveli,1
thirunelveli kollam,1
kottarakkara palani,1
palani kottarakkara,1
vaikkom guruvayoor,1
thiruvananthapuram vaikkom,2
vaikkom thiruvananthapuram,1
vaikkom kozhikkode,1
poviyarvila kilimanoor,1
palappilly chalakudy,2
vellikulangara mulagunnathukavu,1
thrissur mupliyam,9
kottayam mysore,1
payyannur mysore,1
mysore payyannur,1
alakkode kanhangad,2
thalassery chalode,1
chalode koothuparamba,1
koothuparamba anjarakandy,2
anjarakandy koothuparamba,1
kozhikkode chittoor,4
chittoor pallassana,2
pallassana palakkad,1
chittoor kalpetta,1
kalpetta chittoor,1
pathanapuram elambal,1
elambal kottarakkara,1
nedumangad moozhy,2
moozhy nedumangad,2
moozhy thiruvananthapuram,1
moozhy tvm medical college,1
tvm medical college moozhy,2
thiruvananthapuram civil station moozhy,2
moozhy thiruvananthapuram civil station,2
karappara thrissur,1
thrissur kondayur,2
thekkady thiruvananthapuram,1
thiruvananthapuram kumily,2
kondayur thrissur,2
chalakkudy adichily (stay),1
kalady plantation mannuthy,1
palakkad kottayi,5
kottayi palakkad,1
palakkad ahaliya hospital,6
ahaliya hospital palakkad,2
palakkad manjeri,5
manjeri palakkad,1
vadakkencherry puthucode,2
puthucode palakkad,1
kozhikkode nenmara,1
ernakulam munnar,11
thalassery kadachira,2
pulpally chekadi,3
sulthan bathery madapallikunnu,1
madapallikunnu kalpetta,1
changanassery nedumbassery airport,1
poovar edathuva,1
thiruvambady kozhikkode,6
kozhikkode anakkampoyil,9
manjeri aliparamba,1
aliparamba muthukurussi,3
thirunelli temple alappuzha,1
erumely chandanakampara,1
chandanakampara erumely,1
olippara kottayam,1
kottayam olippara,1
kottayam kasaragod,1
kasaragod kottayam,1
ernakulam south north paravoor,19
ernakulam south chemmayam,2
ernakulam chemmayam,1
chemmayam ernakulam,2
attingal kottakkal,1
kottakkal attingal,1
attingal pappanamcode,1
pappanamcode chirayinkeezhu,1
chirayinkeezhu thiruvananthapuram,24
attingal ayoor,3
ayoor attingal,1
kudiyanmala thaliparamba,17
kudiyanmala kannur,5
kannur santhigiri,1
cherpulassery thrissur,1
palakkad cherpulassery,5
cherpulassery palakkad,1
cherpulassery mannarkad,1
mannarkad karinkallathani,1
karinkallathani cherpulassery,1
palakkad mettupalayam,5
mettupalayam palakkad,1
mettupalayam mannarkad,1
mannarkad mettupalayam,2
mannarkad guruvayoor,1
guruvayoor mannarkad,1
kollam poovar,1
pariyaram medical college cherupuzha,1
cherupuzha pariyaram medical college,1
cherupuzha kannur,1
nedumangad thiruvananthapuram (non stop),71
thiruvananthapuram nedumangad (non stop),89
muthuvila nedumangad,2
nedumangad melemukku,4
kongad thrissur,1
parippally kaliyikkavila,1
thottumukkam kozhikkode,4
kadachira thalassery,2
mangalapuram kannur,1
guruvayoor vytilla hub,1
navodaya ranny,5
mararikulam vandanam medical college,1
kadakkal vilakkupara,1
chittoor gopalapuram,2
vandanam medical college alappuzha,2
kottayam teekoy,1
poonjar erattupetta,4
pathanamthitta karimanthode,4
karimanthode thiruvananthapuram,1
kayamkulam vandanam medical college,5
thanneermukkom ambalappuzha,19
ambalappuzha thanneermukkom,13
thottilpalam bangalore,1
thodupuzha pathippally,2
pathippally thodupuzha,4
vadakara thamarassery,1
ernakulam thiruvairanikkulam,1
thiruvairanikkulam ernakulam,1
thiruvairanikkulam thoppumpady,1
kazhuthurutty thenkasi,1
kottarakkara thenkasi,6
pala thiruvananthapuram,5
thiruvananthapuram pala,5
thengamam enath,1
poomaruthikuzhi pathanapuram,3
kottayam bangalore,2
muvattupuzha perumannoor,1
perumannoor muvattupuzha,1
pindimana muvattupuzha,1
muvattupuzha pindimana,1
kothamangalam plamudy,2
plamudy kothamangalam,1
plamudy puthenkurish,1
kannur vanchiyam,1
vanchiyam iritty,1
iritty thaliparamba,2
thaliparamba payyavoor (stay),1
payyavoor kannur,2
kannur mattannur,5
mattannur kannur,5
mattannur palayode (stay),1
palayode mattannur,1
mananthavady iritty,9
iritty peravoor (stay),3
peravoor mananthavady,1
kanjiramkulam vizhinjam,1
vizhinjam tenkavila temple,1
tenkavila temple thiruvananthapurm,1
thiruvananthapurm tenkavila temple,1
tenkavila temple vizhinjam,1
thiruvananthapuram marappalam,6
marappalam thiruvananthapuram,1
erattupetta chennad,10
chennad erattupetta,9
nedumkandam thiruvananthapuram,7
coimbatore mananthavady,1
aryankavu kunnikode,1
kunnikode thenmala,2
thenmala kottarakkara,2
punalur kunnikode,1
pattathilkadavu karunagappally,2
karunagappally thiruvatta,2
anchal oachira,1
karunagappally veettinal temple,1
veettinal temple kollam (chinnakada),1
munnar udumalpet,8
udumalpet munnar,8
kannur kalpetta,1
thalassery peravoor,1
paalchuram thalassery,1
kottiyoor thalassery,2
malappuram purathur,2
purathur malappuram,2
devarupara anthyanpara,1
anthyanpara thodupuzha,1
devarupara moolamattom,1
sulthan bathery bangalore,1
konnakkad kanhangad depot,11
pathanapuram poonkulanji,11
kollam chathanoor,3
chathanoor kollam,3
kannur virajpet,1
parassinikadavu kannur,1
aduvapuram kannur,1
kannur aduvapuram (stay),1
kannur kara,1
chellanam cherthala,11
kumaramkudy kunnikode,1
kunnikode kumaramkudy,1
nadapuram thottilpalam,1
tvm medical college kadakkal,1
chenkulam pattazhy arattupuzha,1
pattazhy arattupuzha punalur,5
kunnikode chenkulam,1
punalur kalarivathukkal,2
kalarivathukkal punalur,2
